# COMMAND: findmnt
TARGET                                        SOURCE               FSTYPE      OPTIONS
/                                             /dev/mapper/pve-root ext4        rw,relatime,errors=remount-ro
├─/sys                                        sysfs                sysfs       rw,nosuid,nodev,noexec,relatime
│ ├─/sys/kernel/security                      securityfs           securityfs  rw,nosuid,nodev,noexec,relatime
│ ├─/sys/fs/cgroup                            cgroup2              cgroup2     rw,nosuid,nodev,noexec,relatime,nsdelegate,memory_recursiveprot
│ ├─/sys/fs/pstore                            none                 pstore      rw,nosuid,nodev,noexec,relatime
│ ├─/sys/firmware/efi/efivars                 efivarfs             efivarfs    rw,nosuid,nodev,noexec,relatime
│ ├─/sys/fs/bpf                               bpf                  bpf         rw,nosuid,nodev,noexec,relatime,mode=700
│ ├─/sys/kernel/tracing                       tracefs              tracefs     rw,nosuid,nodev,noexec,relatime
│ ├─/sys/kernel/debug                         debugfs              debugfs     rw,nosuid,nodev,noexec,relatime
│ ├─/sys/kernel/config                        configfs             configfs    rw,nosuid,nodev,noexec,relatime
│ └─/sys/fs/fuse/connections                  fusectl              fusectl     rw,nosuid,nodev,noexec,relatime
├─/proc                                       proc                 proc        rw,relatime
│ ├─/proc/sys/fs/binfmt_misc                  systemd-1            autofs      rw,relatime,fd=37,pgrp=1,timeout=0,minproto=5,maxproto=5,direct,pipe_ino=7635
│ │ └─/proc/sys/fs/binfmt_misc                binfmt_misc          binfmt_misc rw,nosuid,nodev,noexec,relatime
│ └─/proc/fs/nfsd                             nfsd                 nfsd        rw,relatime
├─/dev                                        udev                 devtmpfs    rw,nosuid,relatime,size=14829544k,nr_inodes=3707386,mode=755,inode64
│ ├─/dev/pts                                  devpts               devpts      rw,nosuid,noexec,relatime,gid=5,mode=600,ptmxmode=000
│ ├─/dev/shm                                  tmpfs                tmpfs       rw,nosuid,nodev,inode64
│ ├─/dev/mqueue                               mqueue               mqueue      rw,nosuid,nodev,noexec,relatime
│ └─/dev/hugepages                            hugetlbfs            hugetlbfs   rw,nosuid,nodev,relatime,pagesize=2M
├─/run                                        tmpfs                tmpfs       rw,nosuid,nodev,noexec,relatime,size=3277904k,mode=755,inode64
│ ├─/run/lock                                 tmpfs                tmpfs       rw,nosuid,nodev,noexec,relatime,size=5120k,inode64
│ ├─/run/rpc_pipefs                           sunrpc               rpc_pipefs  rw,relatime
│ ├─/run/credentials/systemd-journald.service tmpfs                tmpfs       ro,nosuid,nodev,noexec,relatime,nosymfollow,size=1024k,nr_inodes=1024,mode=700,inode64,noswap
│ ├─/run/user/0                               tmpfs                tmpfs       rw,nosuid,nodev,relatime,size=3277900k,nr_inodes=819475,mode=700,inode64
│ └─/run/credentials/getty@tty1.service       tmpfs                tmpfs       ro,nosuid,nodev,noexec,relatime,nosymfollow,size=1024k,nr_inodes=1024,mode=700,inode64,noswap
├─/tmp                                        tmpfs                tmpfs       rw,nosuid,nodev,size=16389504k,nr_inodes=1048576,inode64
├─/boot/efi                                   /dev/sda2            vfat        rw,relatime,fmask=0022,dmask=0022,codepage=437,iocharset=iso8859-1,shortname=mixed,errors=remount-ro
├─/mnt/pve/Backup_Extern_SSD                  /dev/sdc1            ext4        rw,relatime,stripe=256
├─/mnt/backup                                 /dev/sdb1            ext4        rw,relatime
├─/mnt/zfspool                                SSD-2T               zfs         rw,relatime,xattr,noacl,casesensitive
├─/var/lib/lxcfs                              lxcfs                fuse.lxcfs  rw,nosuid,nodev,relatime,user_id=0,group_id=0,allow_other
└─/etc/pve                                    /dev/fuse            fuse        rw,nosuid,nodev,relatime,user_id=0,group_id=0,default_permissions,allow_other
