# COMMAND: bash -lc command -v zfs >/dev/null && zfs get -r all SSD-2T 2>/dev/null || true
NAME                                  PROPERTY                VALUE                   SOURCE
SSD-2T                                type                    filesystem              -
SSD-2T                                creation                Tue Nov 28 22:30 2023   -
SSD-2T                                used                    704G                    -
SSD-2T                                available               614G                    -
SSD-2T                                referenced              24K                     -
SSD-2T                                compressratio           1.01x                   -
SSD-2T                                mounted                 yes                     -
SSD-2T                                quota                   none                    default
SSD-2T                                reservation             none                    default
SSD-2T                                recordsize              128K                    default
SSD-2T                                mountpoint              /mnt/zfspool            local
SSD-2T                                sharenfs                off                     default
SSD-2T                                checksum                on                      default
SSD-2T                                compression             on                      default
SSD-2T                                atime                   on                      default
SSD-2T                                devices                 on                      default
SSD-2T                                exec                    on                      default
SSD-2T                                setuid                  on                      default
SSD-2T                                readonly                off                     default
SSD-2T                                zoned                   off                     default
SSD-2T                                snapdir                 hidden                  default
SSD-2T                                aclmode                 discard                 default
SSD-2T                                aclinherit              restricted              default
SSD-2T                                createtxg               1                       -
SSD-2T                                canmount                on                      default
SSD-2T                                xattr                   sa                      default
SSD-2T                                copies                  1                       default
SSD-2T                                version                 5                       -
SSD-2T                                utf8only                off                     -
SSD-2T                                normalization           none                    -
SSD-2T                                casesensitivity         sensitive               -
SSD-2T                                vscan                   off                     default
SSD-2T                                nbmand                  off                     default
SSD-2T                                sharesmb                off                     default
SSD-2T                                refquota                none                    default
SSD-2T                                refreservation          none                    default
SSD-2T                                guid                    11487273895768759900    -
SSD-2T                                primarycache            all                     default
SSD-2T                                secondarycache          all                     default
SSD-2T                                usedbysnapshots         0B                      -
SSD-2T                                usedbydataset           24K                     -
SSD-2T                                usedbychildren          704G                    -
SSD-2T                                usedbyrefreservation    0B                      -
SSD-2T                                logbias                 latency                 default
SSD-2T                                objsetid                54                      -
SSD-2T                                dedup                   off                     default
SSD-2T                                mlslabel                none                    default
SSD-2T                                sync                    standard                default
SSD-2T                                dnodesize               legacy                  default
SSD-2T                                refcompressratio        1.00x                   -
SSD-2T                                written                 24K                     -
SSD-2T                                logicalused             168G                    -
SSD-2T                                logicalreferenced       12K                     -
SSD-2T                                volmode                 default                 default
SSD-2T                                filesystem_limit        none                    default
SSD-2T                                snapshot_limit          none                    default
SSD-2T                                filesystem_count        none                    default
SSD-2T                                snapshot_count          none                    default
SSD-2T                                snapdev                 hidden                  default
SSD-2T                                acltype                 off                     default
SSD-2T                                context                 none                    default
SSD-2T                                fscontext               none                    default
SSD-2T                                defcontext              none                    default
SSD-2T                                rootcontext             none                    default
SSD-2T                                relatime                on                      default
SSD-2T                                redundant_metadata      all                     default
SSD-2T                                overlay                 on                      default
SSD-2T                                encryption              off                     default
SSD-2T                                keylocation             none                    default
SSD-2T                                keyformat               none                    default
SSD-2T                                pbkdf2iters             0                       default
SSD-2T                                special_small_blocks    0                       default
SSD-2T                                prefetch                all                     default
SSD-2T                                direct                  standard                default
SSD-2T                                longname                off                     default
SSD-2T                                defaultuserquota        0                       -
SSD-2T                                defaultgroupquota       0                       -
SSD-2T                                defaultprojectquota     0                       -
SSD-2T                                defaultuserobjquota     0                       -
SSD-2T                                defaultgroupobjquota    0                       -
SSD-2T                                defaultprojectobjquota  0                       -
SSD-2T/vm-102-disk-0                  type                    volume                  -
SSD-2T/vm-102-disk-0                  creation                Sat Mar 14  7:56 2026   -
SSD-2T/vm-102-disk-0                  used                    671G                    -
SSD-2T/vm-102-disk-0                  available               1.10T                   -
SSD-2T/vm-102-disk-0                  referenced              154G                    -
SSD-2T/vm-102-disk-0                  compressratio           1.01x                   -
SSD-2T/vm-102-disk-0                  reservation             none                    default
SSD-2T/vm-102-disk-0                  volsize                 500G                    local
SSD-2T/vm-102-disk-0                  volblocksize            8K                      -
SSD-2T/vm-102-disk-0                  checksum                on                      default
SSD-2T/vm-102-disk-0                  compression             on                      default
SSD-2T/vm-102-disk-0                  readonly                off                     default
SSD-2T/vm-102-disk-0                  createtxg               14099201                -
SSD-2T/vm-102-disk-0                  copies                  1                       default
SSD-2T/vm-102-disk-0                  refreservation          516G                    local
SSD-2T/vm-102-disk-0                  guid                    17696080812971918903    -
SSD-2T/vm-102-disk-0                  primarycache            all                     default
SSD-2T/vm-102-disk-0                  secondarycache          all                     default
SSD-2T/vm-102-disk-0                  usedbysnapshots         3.96G                   -
SSD-2T/vm-102-disk-0                  usedbydataset           154G                    -
SSD-2T/vm-102-disk-0                  usedbychildren          0B                      -
SSD-2T/vm-102-disk-0                  usedbyrefreservation    512G                    -
SSD-2T/vm-102-disk-0                  logbias                 latency                 default
SSD-2T/vm-102-disk-0                  objsetid                20487                   -
SSD-2T/vm-102-disk-0                  dedup                   off                     default
SSD-2T/vm-102-disk-0                  mlslabel                none                    default
SSD-2T/vm-102-disk-0                  sync                    standard                default
SSD-2T/vm-102-disk-0                  refcompressratio        1.01x                   -
SSD-2T/vm-102-disk-0                  written                 3.40G                   -
SSD-2T/vm-102-disk-0                  logicalused             160G                    -
SSD-2T/vm-102-disk-0                  logicalreferenced       156G                    -
SSD-2T/vm-102-disk-0                  volmode                 default                 default
SSD-2T/vm-102-disk-0                  snapshot_limit          none                    default
SSD-2T/vm-102-disk-0                  snapshot_count          none                    default
SSD-2T/vm-102-disk-0                  snapdev                 hidden                  default
SSD-2T/vm-102-disk-0                  context                 none                    default
SSD-2T/vm-102-disk-0                  fscontext               none                    default
SSD-2T/vm-102-disk-0                  defcontext              none                    default
SSD-2T/vm-102-disk-0                  rootcontext             none                    default
SSD-2T/vm-102-disk-0                  redundant_metadata      all                     default
SSD-2T/vm-102-disk-0                  encryption              off                     default
SSD-2T/vm-102-disk-0                  keylocation             none                    default
SSD-2T/vm-102-disk-0                  keyformat               none                    default
SSD-2T/vm-102-disk-0                  pbkdf2iters             0                       default
SSD-2T/vm-102-disk-0                  special_small_blocks    0                       default
SSD-2T/vm-102-disk-0                  prefetch                all                     default
SSD-2T/vm-102-disk-0                  volthreading            on                      default
SSD-2T/vm-102-disk-0@vor_prox_update  type                    snapshot                -
SSD-2T/vm-102-disk-0@vor_prox_update  creation                Fri Jul 31 16:39 2026   -
SSD-2T/vm-102-disk-0@vor_prox_update  used                    3.96G                   -
SSD-2T/vm-102-disk-0@vor_prox_update  referenced              155G                    -
SSD-2T/vm-102-disk-0@vor_prox_update  compressratio           1.00x                   -
SSD-2T/vm-102-disk-0@vor_prox_update  volsize                 500G                    local
SSD-2T/vm-102-disk-0@vor_prox_update  createtxg               16448478                -
SSD-2T/vm-102-disk-0@vor_prox_update  guid                    9365124799817897269     -
SSD-2T/vm-102-disk-0@vor_prox_update  primarycache            all                     default
SSD-2T/vm-102-disk-0@vor_prox_update  secondarycache          all                     default
SSD-2T/vm-102-disk-0@vor_prox_update  defer_destroy           off                     -
SSD-2T/vm-102-disk-0@vor_prox_update  userrefs                0                       -
SSD-2T/vm-102-disk-0@vor_prox_update  objsetid                119689                  -
SSD-2T/vm-102-disk-0@vor_prox_update  mlslabel                none                    default
SSD-2T/vm-102-disk-0@vor_prox_update  refcompressratio        1.00x                   -
SSD-2T/vm-102-disk-0@vor_prox_update  written                 155G                    -
SSD-2T/vm-102-disk-0@vor_prox_update  logicalreferenced       154G                    -
SSD-2T/vm-102-disk-0@vor_prox_update  context                 none                    default
SSD-2T/vm-102-disk-0@vor_prox_update  fscontext               none                    default
SSD-2T/vm-102-disk-0@vor_prox_update  defcontext              none                    default
SSD-2T/vm-102-disk-0@vor_prox_update  rootcontext             none                    default
SSD-2T/vm-102-disk-0@vor_prox_update  encryption              off                     default
SSD-2T/vm-102-disk-0@vor_prox_update  prefetch                all                     default
SSD-2T/vm-102-state-vor_prox_update   type                    volume                  -
SSD-2T/vm-102-state-vor_prox_update   creation                Fri Jul 31 16:39 2026   -
SSD-2T/vm-102-state-vor_prox_update   used                    33.5G                   -
SSD-2T/vm-102-state-vor_prox_update   available               639G                    -
SSD-2T/vm-102-state-vor_prox_update   referenced              7.69G                   -
SSD-2T/vm-102-state-vor_prox_update   compressratio           1.00x                   -
SSD-2T/vm-102-state-vor_prox_update   reservation             none                    default
SSD-2T/vm-102-state-vor_prox_update   volsize                 32.5G                   local
SSD-2T/vm-102-state-vor_prox_update   volblocksize            8K                      -
SSD-2T/vm-102-state-vor_prox_update   checksum                on                      default
SSD-2T/vm-102-state-vor_prox_update   compression             on                      default
SSD-2T/vm-102-state-vor_prox_update   readonly                off                     default
SSD-2T/vm-102-state-vor_prox_update   createtxg               16448458                -
SSD-2T/vm-102-state-vor_prox_update   copies                  1                       default
SSD-2T/vm-102-state-vor_prox_update   refreservation          33.5G                   local
SSD-2T/vm-102-state-vor_prox_update   guid                    3661612942237454369     -
SSD-2T/vm-102-state-vor_prox_update   primarycache            all                     default
SSD-2T/vm-102-state-vor_prox_update   secondarycache          all                     default
SSD-2T/vm-102-state-vor_prox_update   usedbysnapshots         0B                      -
SSD-2T/vm-102-state-vor_prox_update   usedbydataset           7.69G                   -
SSD-2T/vm-102-state-vor_prox_update   usedbychildren          0B                      -
SSD-2T/vm-102-state-vor_prox_update   usedbyrefreservation    25.8G                   -
SSD-2T/vm-102-state-vor_prox_update   logbias                 latency                 default
SSD-2T/vm-102-state-vor_prox_update   objsetid                119324                  -
SSD-2T/vm-102-state-vor_prox_update   dedup                   off                     default
SSD-2T/vm-102-state-vor_prox_update   mlslabel                none                    default
SSD-2T/vm-102-state-vor_prox_update   sync                    standard                default
SSD-2T/vm-102-state-vor_prox_update   refcompressratio        1.00x                   -
SSD-2T/vm-102-state-vor_prox_update   written                 7.69G                   -
SSD-2T/vm-102-state-vor_prox_update   logicalused             7.66G                   -
SSD-2T/vm-102-state-vor_prox_update   logicalreferenced       7.66G                   -
SSD-2T/vm-102-state-vor_prox_update   volmode                 default                 default
SSD-2T/vm-102-state-vor_prox_update   snapshot_limit          none                    default
SSD-2T/vm-102-state-vor_prox_update   snapshot_count          none                    default
SSD-2T/vm-102-state-vor_prox_update   snapdev                 hidden                  default
SSD-2T/vm-102-state-vor_prox_update   context                 none                    default
SSD-2T/vm-102-state-vor_prox_update   fscontext               none                    default
SSD-2T/vm-102-state-vor_prox_update   defcontext              none                    default
SSD-2T/vm-102-state-vor_prox_update   rootcontext             none                    default
SSD-2T/vm-102-state-vor_prox_update   redundant_metadata      all                     default
SSD-2T/vm-102-state-vor_prox_update   encryption              off                     default
SSD-2T/vm-102-state-vor_prox_update   keylocation             none                    default
SSD-2T/vm-102-state-vor_prox_update   keyformat               none                    default
SSD-2T/vm-102-state-vor_prox_update   pbkdf2iters             0                       default
SSD-2T/vm-102-state-vor_prox_update   special_small_blocks    0                       default
SSD-2T/vm-102-state-vor_prox_update   prefetch                all                     default
SSD-2T/vm-102-state-vor_prox_update   volthreading            on                      default
