# COMMAND: bash -lc command -v zpool >/dev/null && zpool get all
NAME    PROPERTY                       VALUE                          SOURCE
SSD-2T  size                           1.33T                          -
SSD-2T  capacity                       12%                            -
SSD-2T  altroot                        -                              default
SSD-2T  health                         ONLINE                         -
SSD-2T  guid                           5231858355861408303            -
SSD-2T  version                        -                              default
SSD-2T  bootfs                         -                              default
SSD-2T  delegation                     on                             default
SSD-2T  autoreplace                    off                            default
SSD-2T  cachefile                      none                           local
SSD-2T  failmode                       wait                           default
SSD-2T  listsnapshots                  off                            default
SSD-2T  autoexpand                     off                            default
SSD-2T  dedupratio                     1.00x                          -
SSD-2T  free                           1.17T                          -
SSD-2T  allocated                      166G                           -
SSD-2T  readonly                       off                            -
SSD-2T  ashift                         0                              default
SSD-2T  comment                        -                              default
SSD-2T  expandsize                     -                              -
SSD-2T  freeing                        0                              -
SSD-2T  fragmentation                  3%                             -
SSD-2T  leaked                         0                              -
SSD-2T  multihost                      off                            default
SSD-2T  checkpoint                     -                              -
SSD-2T  load_guid                      12056082127149096187           -
SSD-2T  autotrim                       off                            default
SSD-2T  compatibility                  off                            default
SSD-2T  bcloneused                     0                              -
SSD-2T  bclonesaved                    0                              -
SSD-2T  bcloneratio                    1.00x                          -
SSD-2T  dedup_table_size               0                              -
SSD-2T  dedup_table_quota              auto                           default
SSD-2T  last_scrubbed_txg              0                              -
SSD-2T  feature@async_destroy          enabled                        local
SSD-2T  feature@empty_bpobj            active                         local
SSD-2T  feature@lz4_compress           active                         local
SSD-2T  feature@multi_vdev_crash_dump  enabled                        local
SSD-2T  feature@spacemap_histogram     active                         local
SSD-2T  feature@enabled_txg            active                         local
SSD-2T  feature@hole_birth             active                         local
SSD-2T  feature@extensible_dataset     active                         local
SSD-2T  feature@embedded_data          active                         local
SSD-2T  feature@bookmarks              enabled                        local
SSD-2T  feature@filesystem_limits      enabled                        local
SSD-2T  feature@large_blocks           enabled                        local
SSD-2T  feature@large_dnode            enabled                        local
SSD-2T  feature@sha512                 enabled                        local
SSD-2T  feature@skein                  enabled                        local
SSD-2T  feature@edonr                  enabled                        local
SSD-2T  feature@userobj_accounting     active                         local
SSD-2T  feature@encryption             enabled                        local
SSD-2T  feature@project_quota          active                         local
SSD-2T  feature@device_removal         enabled                        local
SSD-2T  feature@obsolete_counts        enabled                        local
SSD-2T  feature@zpool_checkpoint       enabled                        local
SSD-2T  feature@spacemap_v2            active                         local
SSD-2T  feature@allocation_classes     enabled                        local
SSD-2T  feature@resilver_defer         enabled                        local
SSD-2T  feature@bookmark_v2            enabled                        local
SSD-2T  feature@redaction_bookmarks    enabled                        local
SSD-2T  feature@redacted_datasets      enabled                        local
SSD-2T  feature@bookmark_written       enabled                        local
SSD-2T  feature@log_spacemap           active                         local
SSD-2T  feature@livelist               enabled                        local
SSD-2T  feature@device_rebuild         enabled                        local
SSD-2T  feature@zstd_compress          enabled                        local
SSD-2T  feature@draid                  enabled                        local
SSD-2T  feature@zilsaxattr             disabled                       local
SSD-2T  feature@head_errlog            disabled                       local
SSD-2T  feature@blake3                 disabled                       local
SSD-2T  feature@block_cloning          disabled                       local
SSD-2T  feature@vdev_zaps_v2           disabled                       local
SSD-2T  feature@redaction_list_spill   disabled                       local
SSD-2T  feature@raidz_expansion        disabled                       local
SSD-2T  feature@fast_dedup             disabled                       local
SSD-2T  feature@longname               disabled                       local
SSD-2T  feature@large_microzap         disabled                       local
SSD-2T  feature@dynamic_gang_header    disabled                       local
SSD-2T  feature@block_cloning_endian   disabled                       local
SSD-2T  feature@physical_rewrite       disabled                       local
